index,tm,num_atms,r2extent,edmn,eqmn,total_energy,hlg,cpe,cce,cde,cre,ctne,smd
0,573.15,41,11538.6734,7.428415156,17.45950277,-1446.097606,0.12314,-23.79,44.5,-32.69,2.39,14.2,4.41
1,374.15,18,5415.8637,1.952991679,8.742659994,-3030.939098,0.22306,-10.33,25.1,-18.74,1.53,7.88,4.28
2,295.45,31,3458.0247,1.519939321,3.776117767,-543.3699702,0.21244,-6.12,31.06,-22.29,1.75,10.53,5.6
3,409.15,33,7710.9555,3.933932243,5.982179369,-893.4036079,0.22788,-16.86,37.87,-27.59,2.21,12.49,6.74
4,337.65,29,3528.0215,1.710077408,6.824276738,-617.1424932,0.22498,-9.87,31.83,-22.47,1.78,11.13,5.38
5,416.15,26,3802.0079,2.121778457,14.20160731,-594.9004224,0.16071,-10.81,28.95,-21.84,1.65,8.76,4.26
6,575.15,17,1896.4994,1.542564676,13.80532162,-522.6936318,0.19242,-18.1,21.58,-16.89,1.37,6.06,-0.96
7,518.15,26,5731.6884,7.011426984,30.1309589,-1079.523121,0.12095,-18.06,32.55,-24.24,1.84,10.15,4.57
8,383.15,15,1682.3037,5.714752903,18.61236178,-457.9189511,0.19661,-12.36,19.92,-14.8,1.24,6.35,5.46
9,388.15,19,3386.0468,0.621976358,9.795215072,-1454.510601,0.20481,-10.21,27.21,-19.85,1.59,8.95,6.04
10,491.15,16,3890.9991,5.816888923,17.40394661,-1870.98325,0.18374,-14.3,26.07,-20.23,1.6,7.44,4.27
11,481.15,13,1400.3307,2.13621809,5.530124349,-323.7367439,0.23815,-11.38,16.58,-12.41,1.1,5.27,2.37
12,353.15,39,5991.3141,2.899711882,24.42169633,-971.771273,0.13169,-11.14,40.57,-26.9,2.07,15.74,10.74
13,350.15,28,3336.7475,4.331806248,10.94126242,-1017.792357,0.22272,-10.32,32.04,-21.79,1.74,11.98,5.99
14,507.15,42,12039.0262,3.049111615,21.4370815,-1199.197491,0.21715,-16.32,49.27,-33.17,2.56,18.66,5.97
15,392.15,22,5672.0203,2.329083876,7.197993611,-1493.81873,0.21678,-9.64,30.56,-21.95,1.76,10.37,6.6
16,337.15,25,6175.9245,1.372005864,13.3882062,-1992.724723,0.2111,-9.1,35.21,-24.55,1.95,12.6,6.63
17,336.15,14,3487.6909,3.936547631,5.071533862,-2125.942615,0.20525,-7.33,25.71,-19.14,1.56,8.13,2.1
18,272.65,38,5230.196,0.324576355,4.049493819,-581.2274122,0.27429,-4.08,35.3,-26.08,2.08,11.3,0.17
19,307.65,25,1441.2329,1.362298972,4.022442937,-389.7387451,0.32658,-5.24,24.25,-18.07,1.48,7.66,3.45
20,200.15,28,2592.5108,0.157421854,3.756289737,-391.8745217,0.29236,-3,29.97,-20.48,1.75,11.24,4.89
21,277.65,11,2400.4316,2.155700095,5.695926748,-1113.516907,0.21759,-6.53,20.51,-14.2,1.15,7.46,9.76
22,494.15,8,4827.1928,0.369598079,2.429015891,-7059.734286,0.21737,-2.08,22.77,-17.79,1.43,6.42,0.64
23,360.65,19,2960.8114,2.439029584,7.191942891,-1305.293055,0.21158,-6.44,25.58,-19.28,1.54,7.83,4.31
24,437.15,52,7111.5646,1.563968574,8.168961779,-930.675056,0.18494,-8.46,45.61,-31.42,2.36,16.55,7.49
25,401.15,26,2261.1279,0.288748784,12.46776018,-539.9504795,0.19705,-11.26,27.34,-19.95,1.58,8.97,5.49
26,497.15,30,5573.4969,2.937276735,16.83069756,-762.812789,0.21366,-26.19,34.29,-23.46,1.86,12.69,7.35
