,tm,num_atms,r2extent,edmn,eqmn,total_energy,hlg,cpe,cce,cde,cre,ctne,smd
0,573.15,41.0,11538.6734,7.42841515601,17.459502773,-1446.0976058,0.12314,-23.79,44.5,-32.69,2.39,14.2,4.41
1,423.15,43.0,11950.2007,6.41994798577,18.0534386472,-1447.30488697,0.1204,-21.93,46.25,-33.19,2.44,15.5,5.6
2,447.15,50.0,21538.8642,2.51425553395,36.5260236959,-1353.32227463,0.12917,-18.64,53.31,-38.63,2.88,17.56,9.32
3,508.15,40.0,15216.8371,7.44356563819,30.8692402466,-1160.16969077,0.12707,-22.75,44.63,-32.87,2.44,14.2,8.15
4,408.15,40.0,11649.9955,5.31563537783,28.3583837489,-1048.02176597,0.12541,-21.91,43.33,-31.76,2.39,13.96,7.17
5,418.15,43.0,13702.2654,3.98605540604,21.1553640888,-1087.33253472,0.11953,-17.78,46.13,-33.53,2.53,15.12,6.91
6,508.15,39.0,8143.166,1.53621598416,20.8332986879,-972.753870505,0.12231,-18.2,40.23,-29.93,2.23,12.53,4.41
7,419.15,48.0,15041.2059,5.28194772882,15.2937565869,-1239.95930469,0.12001,-17.07,49.68,-35.63,2.65,16.71,7.28
8,468.15,55.0,23840.7059,2.7496634885,33.2517903335,-1505.94947881,0.13043,-17.68,56.98,-41.19,3.04,18.83,9.79
9,508.15,37.0,8203.1612,4.31567715776,31.5478487916,-971.542543404,0.12521,-19.41,38.64,-29.14,2.15,11.64,2.63
10,378.15,39.0,8239.0489,1.52070208456,22.4345743644,-972.752856586,0.12177,-18.72,40.5,-30.1,2.25,12.66,3.71
11,478.15,45.0,13972.6707,7.61602733845,26.2182731985,-1560.63750246,0.11872,-21.25,47.25,-34.62,2.51,15.15,4.96
12,287.15,20.0,3270.4722,4.86466078262,12.6533132084,-958.154654103,0.23997,-16.35,27.96,-19.03,1.54,10.47,13.51
13,573.15,12.0,1942.1753,2.3065127227,11.4931104902,-737.750762138,0.20473,-9.5,18.42,-14.64,1.18,4.96,0.61
14,534.15,20.0,4041.2835,9.15343005326,15.0813421866,-1075.02548384,0.15359,-18.84,26.77,-20.71,1.59,7.65,5.05
15,615.15,23.0,5562.8519,7.71307174801,14.5377532776,-1991.9119624,0.17974,-29.21,32.15,-24.94,1.82,9.03,2.92
16,630.15,21.0,2233.1194,4.2952732544,8.47718578716,-641.066522467,0.18808,-16.17,25.28,-18.8,1.46,7.94,4.83
17,463.15,25.0,2739.1958,1.02628850719,6.52152592113,-647.320836397,0.21986,-14.76,27.18,-19.74,1.56,9.0,6.72
18,271.15,26.0,1581.5147,1.17148189913,2.90208871332,-369.851679789,0.27958,-3.29,25.24,-18.75,1.55,8.05,2.33
19,461.15,26.0,6919.0874,7.95101229593,20.4397520499,-1480.45507024,0.16952,-18.78,33.7,-25.86,1.94,9.78,3.62
20,481.15,27.0,6592.1845,7.12268081975,32.9206209302,-1514.71745277,0.19503,-23.91,35.08,-26.35,1.96,10.69,3.34
21,568.15,25.0,4086.4662,7.10347092202,3.55465302807,-705.243889883,0.20759,-22.29,28.41,-20.81,1.66,9.26,5.87
22,446.15,25.0,3963.6743,4.63005921128,14.6116317357,-610.163424737,0.19371,-15.41,28.94,-21.4,1.73,9.28,6.31
23,428.15,28.0,2719.7637,1.08714308626,8.16256451797,-686.635626408,0.21888,-13.09,29.87,-20.94,1.65,10.57,6.97
24,527.15,27.0,5116.3669,7.22162627183,16.7322280082,-1154.66686313,0.1768,-21.92,33.26,-24.52,1.86,10.6,3.18
25,524.15,30.0,7136.8585,10.9492161715,16.955049419,-1636.55582667,0.17575,-30.95,36.23,-27.21,2.05,11.07,4.19
26,486.15,31.0,6062.4014,7.82312874686,36.570384498,-983.393855885,0.19125,-31.15,34.1,-24.91,1.92,11.11,4.89
27,423.15,32.0,7552.3868,4.9151103365,26.8958017285,-1832.29640226,0.17204,-22.38,40.26,-26.65,2.07,15.69,9.3
28,466.15,31.0,5694.9033,7.93042581076,16.7469077259,-1215.05120005,0.1815,-22.81,37.2,-26.17,2.02,13.05,4.24
29,370.15,30.0,3701.2534,2.94040305741,12.1104670092,-576.437813039,0.19127,-11.66,32.66,-22.79,1.81,11.69,4.07
30,495.15,36.0,8857.0855,6.72876648205,44.6417355602,-1632.66616157,0.18716,-23.27,42.3,-29.77,2.22,14.75,4.48
31,405.15,35.0,4975.986,1.77151855198,8.50477278003,-1126.29299021,0.16114,-14.5,37.68,-25.85,1.98,13.8,6.7
32,503.15,29.0,9115.5661,2.67858427345,22.7826643543,-1830.90522273,0.13587,-14.41,38.43,-27.35,2.1,13.18,8.96
33,334.15,37.0,6931.358,3.73429687759,23.2543801171,-767.403727691,0.17795,-14.53,39.4,-27.02,2.12,14.5,6.05
34,407.15,30.0,7273.343,2.76235181141,24.5022040633,-1044.26372476,0.15153,-13.54,35.93,-25.41,1.86,12.38,7.93
35,428.15,31.0,5247.6626,3.59698431189,16.6927847728,-916.780840949,0.1582,-14.16,35.03,-25.28,1.93,11.69,9.21
36,486.15,37.0,5247.8356,1.16043999414,9.80305558028,-879.556383167,0.19486,-16.58,36.91,-25.84,1.99,13.06,7.16
37,414.15,38.0,6001.3233,2.91119178001,9.52038648953,-900.570659392,0.2121,-16.64,39.94,-27.15,2.13,14.92,7.13
38,448.15,40.0,8154.5268,4.78967399621,29.4541988757,-1278.89083322,0.20631,-16.03,42.85,-29.82,2.27,15.3,6.35
39,419.15,32.0,6496.2998,1.40346179499,10.5602105097,-1182.83557205,0.16731,-13.22,36.75,-26.87,2.0,11.88,6.23
40,495.15,41.0,14102.3365,9.05896095642,18.1571667192,-2140.94112735,0.17715,-32.75,47.87,-34.19,2.43,16.11,6.03
41,529.15,38.0,9884.6866,5.08987047772,32.038468189,-1849.35571143,0.18626,-28.59,44.33,-30.41,2.29,16.21,8.22
42,504.15,33.0,5410.874,2.77964990242,11.9497617692,-785.872246795,0.15309,-10.87,35.86,-25.65,1.97,12.18,7.05
43,543.15,39.0,4649.9391,1.62701650268,9.62559868268,-789.457915773,0.20459,-9.17,38.76,-26.34,2.05,14.46,6.16
44,423.15,40.0,5155.3505,3.32347694742,9.56028755948,-769.595677152,0.19037,-13.08,39.02,-26.67,2.04,14.4,5.3
45,446.15,42.0,9260.0877,2.30100815296,21.6918334108,-865.89109827,0.16822,-10.26,44.06,-30.48,2.4,15.99,6.8
46,561.15,35.0,11036.8051,7.50705502378,15.0299038433,-1007.49008122,0.16386,-29.24,41.11,-29.84,2.27,13.54,7.01
47,509.15,35.0,6919.9963,4.82001674997,20.1784934616,-1317.70301812,0.1023,-19.57,40.46,-28.16,2.19,14.49,3.26
48,481.15,43.0,8955.5552,3.43514387617,22.3266973644,-1484.48684268,0.19301,-23.94,46.02,-31.02,2.31,17.3,6.43
49,413.15,43.0,11308.4964,4.16754821568,33.3007014788,-1484.45464687,0.17981,-25.32,47.05,-33.08,2.49,16.46,7.21
50,476.15,40.0,9162.1436,1.89585319316,8.87979054708,-1627.12892941,0.17298,-9.14,44.23,-31.07,2.33,15.5,3.84
51,332.15,43.0,8345.404,4.63107490114,17.5000566445,-1016.04473213,0.20968,-16.35,43.15,-30.29,2.34,15.21,5.0
52,531.15,38.0,6271.5627,1.33322734745,22.5811959548,-847.237262045,0.16571,-14.24,37.96,-27.34,2.03,12.65,6.11
53,460.15,42.0,6822.605,2.24216062092,11.3314379913,-849.633136648,0.2053,-14.51,42.86,-28.54,2.25,16.57,7.73
54,443.15,43.0,15990.7282,4.32341682469,13.9060420606,-1604.8683617,0.15097,-17.85,49.15,-34.86,2.65,16.94,6.81
55,389.15,42.0,9193.6389,4.55765655793,16.119033409,-1070.03468981,0.18796,-18.49,46.02,-30.51,2.37,17.87,9.31
56,448.15,45.0,7498.6146,0.667753442522,6.6388857175,-847.979545989,0.18861,-7.88,44.52,-30.53,2.35,16.34,4.2
57,400.15,51.0,7973.4299,2.10413346772,26.9476226235,-1215.45066885,0.21811,-10.75,43.37,-31.62,2.26,14.0,4.56
