output,target
365.22934,303.15
384.52112,365.15
456.4222,514.65
363.41248,367.15
381.37933,421.5
381.36267,366.15
544.9609,478.15
442.25183,424.15
380.13403,345.65
470.9237,466.27
322.27377,339.15
484.2308,512.15
464.93347,459.15
494.84912,447.15
501.16766,513.15
328.04572,384.15
393.0208,375.15
490.3985,573.15
416.76175,442.15
492.3175,411.15
351.70062,346.65
424.30432,414.15
290.32825,193.15
444.6427,382.15
347.17218,307.15
452.73334,413.15
264.234,284.15
500.1929,374.15
348.25943,281.15
368.7915,359.15
356.55182,213.15
400.69543,328.65
422.1765,377.15
401.62723,409.15
449.373,397.15
520.9003,473.5
518.85913,463.15
511.73322,473.15
361.41235,361.15
393.18542,391.15
444.65555,414.15
400.7539,397.15
342.7608,327.15
432.37952,328.15
190.25499,193.15
397.18857,426.15
432.04974,342.15
356.62842,403.15
466.83142,497.15
389.41827,352.15
481.53113,443.15
408.81958,395.15
337.72855,282.15
379.46497,392.15
433.60248,460.15
341.44827,356.15
500.51147,523.15
383.71695,404.15
396.0658,385.15
285.55246,303.15
339.08698,323.15
460.4868,391.15
396.0526,434.15
444.4965,380.15
517.03516,492.15
515.71716,458.15
342.586,405.15
400.57147,405.15
463.86823,509.15
357.00098,357.15
366.47925,324.15
524.6621,574.15
354.666,327.15
440.0738,436.15
410.34656,400.15
484.36523,543.15
399.68933,381.15
408.5808,377.15
350.8129,324.95
401.80988,391.15
474.002,441.15
482.36682,414.15
471.9313,455.15
347.21194,358.15
442.14456,437.15
453.56598,457.15
283.6481,258.15
365.67004,320.65
501.11456,533.15
416.18396,425.15
395.34912,335.65
500.9239,440.15
352.9843,341.15
270.66882,253.15
438.2146,456.15
363.25647,325.15
446.81128,462.15
450.11142,589.15
437.06628,431.15
433.39917,392.65
251.952,277.65
464.3405,444.15
359.73486,313.15
397.34802,451.15
449.4875,399.15
367.76364,345.15
330.86996,310.15
347.1886,411.15
358.91504,317.15
305.41916,309.15
420.03607,450.15
230.86632,183.15
459.78857,382.15
349.2403,323.15
411.18365,386.15
216.33386,133.15
504.31323,468.15
343.25586,335.15
270.62842,230.15
354.3346,373.55
479.95615,453.15
439.8001,508.15
347.35065,328.15
392.34634,353.15
378.0136,358.15
289.2575,258.15
437.34424,523.15
471.12112,428.15
427.9817,419.15
337.05505,465.15
562.5165,513.15
500.74426,531.15
466.8894,574.15
284.20886,221.55
385.6548,348.15
297.37555,333.65
448.44858,465.15
405.24,328.15
350.69623,387.15
410.651,440.15
448.75183,438.15
442.06598,425.15
295.17065,250.15
362.69293,336.65
374.20917,333.15
351.35327,305.15
403.46204,274.15
364.95953,304.15
490.94263,489.15
541.9684,569.15
397.85352,368.65
554.67816,554.15
339.9945,295.25
410.0103,363.15
470.69427,391.15
492.3172,475.15
419.88208,421.15
363.37396,317.15
344.495,350.15
426.20947,381.15
409.55695,340.65
372.4123,326.15
418.44897,345.5
443.2648,373.15
413.14343,416.15
396.40338,457.15
398.51465,425.15
378.0276,470.65
392.02045,319.95
439.21332,388.15
377.98898,330.95
200.82535,192.15
305.526,238.15
567.01935,519.15
381.91736,440.15
351.11978,330.15
458.2588,495.15
397.8348,344.15
367.06314,351.15
360.62787,336.15
444.69244,467.15
440.57037,465.15
439.54443,397.15
458.8808,413.15
369.00018,365.65
365.46814,487.15
