output,target
376.8528,303.15
385.324,365.15
441.71933,514.65
366.27548,367.15
371.05515,421.5
377.9487,366.15
561.55524,478.15
421.97458,424.15
374.1535,345.65
464.06534,466.27
310.56744,339.15
456.486,512.15
448.26364,459.15
499.39847,447.15
491.8517,513.15
328.85312,384.15
394.99323,375.15
470.63577,573.15
409.75528,442.15
485.32468,411.15
347.74704,346.65
413.3954,414.15
216.66275,193.15
439.14615,382.15
348.63742,307.15
444.19455,413.15
293.6398,284.15
480.69086,374.15
352.23727,281.15
362.99274,359.15
359.28683,213.15
397.72775,328.65
395.11435,377.15
395.16037,409.15
518.7326,397.15
505.1411,473.5
511.0032,463.15
502.12027,473.15
358.4036,361.15
379.3826,391.15
428.8593,414.15
387.74487,397.15
332.20624,327.15
421.533,328.15
183.98758,193.15
386.678,426.15
417.22723,342.15
351.19418,403.15
456.5778,497.15
388.8364,352.15
467.52103,443.15
412.26056,395.15
351.0966,282.15
383.5981,392.15
413.02783,460.15
342.02466,356.15
483.43533,523.15
376.36917,404.15
391.42038,385.15
280.62015,303.15
341.76334,323.15
434.93933,391.15
394.21252,434.15
435.39432,380.15
509.30267,492.15
530.0626,458.15
346.86853,405.15
393.99908,405.15
459.4138,509.15
355.28476,357.15
359.78342,324.15
527.3663,574.15
358.36325,327.15
429.06467,436.15
406.56137,400.15
471.67166,543.15
409.97916,381.15
411.2324,377.15
378.2098,324.95
388.38168,391.15
459.91208,441.15
466.37503,414.15
453.41177,455.15
393.1934,358.15
424.87747,437.15
445.9659,457.15
300.70572,258.15
359.047,320.65
496.458,533.15
395.5358,425.15
402.8016,335.65
495.55862,440.15
345.72067,341.15
263.53546,253.15
434.4595,456.15
342.31158,325.15
439.12122,462.15
469.43857,589.15
430.79025,431.15
435.79398,392.65
254.9131,277.65
466.06277,444.15
366.5158,313.15
404.55096,451.15
443.19507,399.15
364.85352,345.15
342.17944,310.15
393.16824,411.15
360.76477,317.15
296.61676,309.15
405.64847,450.15
200.88683,183.15
470.02267,382.15
346.98715,323.15
400.11667,386.15
225.20825,133.15
503.17795,468.15
354.61118,335.15
279.27808,230.15
347.88553,373.55
463.91977,453.15
430.53378,508.15
341.7822,328.15
378.1354,353.15
364.06372,358.15
303.9818,258.15
425.82645,523.15
456.3928,428.15
419.5891,419.15
333.70377,465.15
570.52936,513.15
501.54153,531.15
452.46567,574.15
293.8415,221.55
391.36536,348.15
295.63522,333.65
456.60373,465.15
404.1392,328.15
344.4249,387.15
410.67615,440.15
446.96548,438.15
430.18024,425.15
329.25586,250.15
370.0747,336.65
377.483,333.15
346.84,305.15
413.472,274.15
366.11115,304.15
489.42065,489.15
560.4351,569.15
409.11627,368.65
539.3637,554.15
349.809,295.25
417.8801,363.15
466.2599,391.15
481.29587,475.15
423.25034,421.15
351.02933,317.15
352.25012,350.15
428.3713,381.15
404.2019,340.65
366.07925,326.15
414.27216,345.5
434.29007,373.15
421.54843,416.15
393.2102,457.15
388.9567,425.15
372.98312,470.65
379.5251,319.95
440.29257,388.15
377.17728,330.95
166.60855,192.15
305.42868,238.15
589.2222,519.15
387.80896,440.15
342.21515,330.15
427.40793,495.15
385.75974,344.15
372.98828,351.15
346.41232,336.15
438.34726,467.15
428.85956,465.15
436.6286,397.15
449.48434,413.15
377.1027,365.65
340.2329,487.15
453.94022,399.15
395.02365,443.15
426.02625,399.15
380.3702,366.15
335.22357,308.15
312.94894,309.15
350.72983,379.15
442.16855,365.15
471.93967,441.15
351.07437,324.15
370.55594,300.65
406.20554,410.15
304.75952,248.65
388.23975,447.15
365.1622,357.65
490.82376,489.15
393.68283,372.65
380.0977,370.15
383.22092,368.15
405.0148,421.15
428.72464,425.0
390.3567,448.65
364.89944,394.15
359.9996,348.15
381.59705,444.15
402.4799,383.15
403.74643,343.15
378.24167,403.15
319.8777,243.15
469.433,415.15
372.42148,393.15
285.69287,323.15
376.62292,351.15
308.97372,307.15
408.03577,493.15
373.19922,458.65
451.1973,498.15
319.14944,360.15
515.20935,510.15
523.48956,537.15
381.01315,367.15
541.7607,542.15
373.9142,374.15
425.97446,416.15
430.7466,452.65
373.6266,311.95
512.4678,514.15
249.2943,253.15
347.55356,372.65
455.6736,375.15
425.9014,482.15
430.442,439.15
451.38962,399.15
457.44128,449.5
401.3807,479.15
291.32193,345.15
381.01733,354.15
332.00858,323.65
436.33118,360.15
494.34732,451.15
467.57944,427.15
348.0948,423.15
476.81555,466.15
392.94522,515.15
320.98398,329.65
220.5107,241.15
441.02716,536.15
374.755,513.15
447.98508,513.15
454.97256,513.15
396.14056,359.15
386.18393,328.15
343.44522,368.15
419.00153,366.15
442.3632,459.15
463.9222,454.15
250.18886,214.15
472.27774,435.15
448.00937,427.15
487.17627,455.15
409.44287,415.15
403.65518,341.35
395.12415,328.15
292.7679,311.65
217.179,198.15
443.2498,497.15
381.5564,453.15
450.83252,438.15
396.11575,300.15
388.03488,410.65
305.33493,297.15
579.1132,568.15
362.2232,379.15
359.05334,306.15
451.69995,498.15
346.49298,275.35
451.4564,371.15
365.34286,355.15
331.45267,241.35
336.60553,305.15
411.44498,395.15
395.74786,396.15
495.3633,478.15
344.0901,300.65
503.09232,453.15
459.43414,513.15
332.26236,311.15
287.12228,247.15
379.1932,343.15
431.4965,508.15
354.6622,306.15
475.8106,446.15
359.88913,315.15
508.58426,413.15
483.9175,416.15
309.85303,303.65
389.39975,398.15
480.55325,455.15
336.97903,343.15
452.2363,480.15
403.51968,358.15
396.12726,340.15
458.81726,426.0
399.81976,374.15
397.11594,399.15
403.04605,393.15
320.57022,315.15
525.9412,593.15
248.9001,210.05
439.4112,426.65
383.15863,367.15
425.2148,391.15
440.638,399.15
417.17108,366.05
440.46555,463.15
460.38913,485.15
568.4525,551.15
453.6688,472.15
377.14288,344.65
315.42206,317.15
378.03397,366.15
413.02017,401.15
440.28085,390.15
415.94684,380.65
546.52673,462.15
441.79065,357.15
447.62036,499.15
419.02768,426.15
473.5479,497.15
428.44495,425.15
449.99384,501.15
382.26886,431.15
322.58438,317.15
450.04422,465.15
322.44916,427.65
410.37198,467.15
451.176,411.15
441.34216,451.15
370.5136,433.15
390.9423,427.15
486.94058,548.15
378.3033,380.15
466.20023,507.15
231.29768,433.15
454.80948,511.15
414.87503,380.15
409.00504,411.15
386.25754,409.15
285.99493,302.65
461.02957,483.15
310.97473,267.65
405.29636,362.65
350.85873,343.15
352.9186,334.15
381.37735,402.15
410.90118,413.15
345.36768,345.15
368.47543,312.65
428.708,418.15
464.81033,432.15
474.79407,521.15
466.12424,392.15
403.98468,378.15
363.46927,310.15
465.5757,528.15
473.80206,487.15
423.83292,387.15
273.677,378.15
446.66684,423.15
241.3402,295.15
342.2672,289.15
327.5168,323.65
375.2665,305.15
340.20273,279.05
329.68338,268.15
408.43192,397.15
337.9134,356.65
352.84515,437.15
482.5346,468.15
403.49396,498.15
350.70422,312.15
