output,target
377.13327,244.15
359.43585,364.15
369.07455,213.15
370.94394,551.15
370.93997,398.15
366.18353,428.15
372.72937,351.15
375.98325,447.15
379.3315,425.15
375.8115,389.15
368.14993,288.15
379.6231,429.15
373.61542,507.15
378.69406,475.15
373.1866,404.15
374.5128,379.15
373.09592,313.65
371.3278,428.15
371.0851,341.15
345.52048,317.65
363.78336,364.15
360.13745,325.15
372.23978,429.15
382.9081,357.15
366.6782,391.15
362.67026,406.15
369.61542,424.15
365.62692,324.65
377.92368,409.15
368.5019,297.15
364.31186,368.15
357.32867,345.15
368.18036,466.15
364.4046,298.15
373.80292,431.15
371.19257,359.15
367.27164,370.65
365.6814,515.15
370.1519,304.65
370.65878,309.65
367.63507,169.15
375.06683,508.15
374.0843,382.15
378.3575,499.15
354.12503,356.65
369.03198,352.15
372.38187,393.15
385.38882,680.15
368.57788,459.15
364.78583,337.15
376.29208,448.15
386.2504,467.15
369.14163,322.15
370.48978,277.15
374.82864,489.15
377.38004,538.15
369.68692,412.15
367.14456,214.15
367.869,342.15
370.59958,374.15
365.55292,395.15
373.2518,456.15
352.66132,213.15
380.36502,377.15
370.86392,385.15
375.5628,344.65
375.92184,498.65
380.92093,409.15
374.07422,311.15
372.80334,302.15
376.1727,463.15
354.3775,360.35
389.7835,425.15
372.54187,438.15
365.53275,487.15
367.94608,498.15
374.50046,475.15
370.53296,337.15
364.65384,396.15
370.77286,523.15
354.8861,575.15
366.35645,350.15
376.1114,415.15
367.29367,461.15
358.87827,308.15
368.2326,327.15
375.5348,366.15
355.88953,308.15
370.45746,419.15
375.7868,443.15
366.12738,134.15
372.59955,387.15
363.8763,177.15
369.9539,532.75
378.75082,474.15
360.70267,324.15
366.97974,356.25
368.78427,460.15
381.12665,447.15
369.11813,408.15
376.46243,487.15
374.2296,426.15
376.88467,433.15
372.58627,478.15
349.63693,537.15
357.0414,344.15
368.82034,275.35
363.75967,290.75
366.9023,193.15
371.65408,431.15
360.13132,402.15
358.28485,303.15
379.9361,326.15
384.47403,505.15
363.28036,346.65
374.14355,358.15
365.8439,460.15
375.36108,484.15
360.91382,456.15
359.5674,319.65
377.5211,563.15
372.50473,292.15
325.0629,329.15
371.86176,323.15
371.53198,429.15
373.12402,413.15
369.41797,485.15
367.39673,420.15
379.97128,386.65
372.39,459.15
371.6946,353.15
360.10986,421.15
341.69543,300.65
362.40164,340.15
362.67038,363.15
360.38605,501.15
377.00308,435.15
364.05063,230.05
374.47635,402.15
385.16275,425.15
349.96313,483.15
364.23376,204.85
387.44046,497.15
377.47476,415.15
368.9131,284.65
358.1281,355.15
391.93076,597.15
363.04758,352.15
370.35544,446.15
355.92233,469.15
371.3619,492.15
378.006,389.15
360.15442,432.15
382.25006,478.15
360.7016,429.15
368.0087,469.65
361.4598,523.15
380.34387,405.15
374.44574,479.15
364.5909,354.65
375.7275,354.65
374.60925,412.15
371.4028,399.15
383.18005,442.15
369.11298,333.65
355.03793,319.65
369.69348,447.15
366.63632,348.15
382.16165,470.15
373.7881,479.15
370.28476,518.15
371.79498,317.15
353.51364,182.15
368.5183,314.15
378.63727,348.15
373.94156,417.15
372.08344,351.65
371.5468,318.15
374.1633,454.65
371.79404,445.15
376.53467,407.15
374.85413,422.15
353.59668,370.65
366.1696,203.15
379.8154,482.15
341.65918,535.15
360.6449,418.65
366.87924,478.15
360.82703,316.65
380.86484,399.15
379.8994,443.65
381.15424,378.15
372.51425,374.15
372.95435,283.15
360.40244,329.15
372.7972,393.15
361.04074,449.15
357.7028,395.15
376.83405,369.65
353.52072,311.15
376.47012,416.15
369.31323,530.15
367.34485,397.15
345.80774,172.15
375.2729,368.15
358.50092,473.15
369.9171,366.15
356.51312,354.15
384.9558,448.15
370.0014,332.15
376.38364,471.15
370.37915,318.15
377.26138,421.15
360.00616,342.15
373.23764,521.15
364.91437,351.65
360.93707,313.15
370.60294,437.15
388.9912,414.15
372.1824,456.65
374.86774,426.15
376.84924,416.15
356.86768,467.15
378.3373,535.15
359.78354,160.15
373.4881,416.15
373.71338,448.15
378.19217,340.65
371.92255,451.15
368.4691,490.5
358.99088,317.15
374.57596,529.15
360.09738,409.15
371.70178,379.15
377.4491,437.15
361.48257,415.15
388.4457,457.15
369.5326,557.15
374.92746,342.15
362.9107,412.15
371.57217,418.15
379.5439,431.15
370.8993,447.15
368.74164,377.15
381.3159,570.15
363.48914,402.15
369.17145,453.15
363.45074,391.15
369.27853,475.15
378.4928,387.15
366.5704,324.65
362.69537,338.15
368.29178,407.15
369.31174,538.15
379.27966,477.15
358.69983,568.15
365.6442,312.65
365.27716,440.15
368.11258,410.15
365.5754,377.15
389.0048,511.15
361.6951,434.15
373.71295,150.15
361.931,336.15
372.38162,387.15
373.38834,370.15
367.79755,437.15
375.64877,453.15
376.26047,476.15
384.46735,397.15
373.0718,413.15
369.4177,306.65
370.74924,397.15
376.42758,440.65
374.88742,425.15
381.80008,356.65
376.91818,468.15
364.42615,323.15
359.28455,389.15
381.68607,476.15
360.32132,343.15
361.2895,415.15
389.46652,643.15
361.5641,441.15
377.011,436.15
377.04572,329.15
359.5415,382.15
368.54114,298.15
369.28317,478.15
368.40433,445.15
366.5565,416.15
357.7202,453.15
382.83752,535.15
373.7445,353.15
368.38065,341.65
378.68063,488.65
363.82465,369.15
386.47992,399.15
369.89252,342.65
356.20068,475.15
377.0701,489.15
359.0767,364.15
367.49808,458.15
363.52786,498.15
378.89127,344.15
364.8363,274.15
389.47003,471.15
373.9873,434.15
362.6552,379.15
376.63898,359.15
360.71533,365.15
369.0007,364.65
368.77023,515.15
379.11304,570.0
376.0605,353.15
370.42267,375.5
359.53006,184.15
370.17032,416.15
377.5783,291.15
376.7695,398.15
369.91235,410.15
384.0688,473.15
367.42667,286.15
342.1387,300.15
372.66446,503.15
371.99524,303.15
357.17123,312.15
367.13696,448.15
360.79446,410.15
373.14767,344.15
372.62347,349.15
376.06393,357.15
369.6552,250.65
378.59573,340.15
365.12726,193.15
361.03162,229.15
356.8185,423.15
373.571,368.15
352.24316,334.15
361.3858,305.65
368.282,339.15
370.66666,517.15
371.98264,397.15
372.5786,452.15
382.33127,347.15
365.6904,367.15
374.54443,445.15
367.957,368.15
363.23517,252.15
360.9719,279.15
363.74286,354.15
377.79037,468.15
367.02863,257.65
372.216,526.15
372.16718,517.15
376.2934,409.15
374.12848,474.15
366.8601,478.15
370.1568,414.15
377.74863,480.15
396.35638,723.15
369.74374,319.15
366.8094,399.15
377.11484,413.15
370.32733,396.15
367.6551,337.15
377.98743,429.15
376.68127,404.15
385.5194,416.15
373.50208,420.15
368.89172,425.15
375.3357,399.15
367.11453,548.15
366.94183,399.15
363.44293,411.15
370.37988,633.15
373.57816,217.15
368.56677,451.15
378.45258,352.15
360.72397,427.15
342.14682,257.55
381.0212,429.15
374.24725,449.15
375.89603,377.15
372.81424,517.15
363.34048,409.15
346.26715,313.15
375.67947,276.65
375.47116,431.15
367.79767,412.15
367.2602,369.45
357.6122,186.15
365.91107,380.15
377.6969,493.15
367.67194,392.15
375.86227,523.15
377.1383,442.15
376.3371,367.65
365.43515,498.15
368.54803,407.15
364.8599,522.15
374.20132,246.15
373.70728,341.65
374.46545,535.15
361.22192,318.65
361.24338,338.65
365.1629,556.15
348.95493,363.15
368.65088,318.15
387.38876,400.15
381.3264,443.15
374.36542,324.65
372.6278,457.15
372.19485,535.15
371.48145,331.15
382.48148,512.15
369.10416,360.15
370.2126,388.15
362.68423,352.45
372.32703,413.15
369.99796,365.15
374.74454,409.15
367.98047,453.15
368.42123,432.65
361.23273,314.15
362.39066,417.15
377.00262,506.15
369.4396,414.15
368.9706,418.15
370.6648,552.65
369.40863,302.15
373.26498,416.2
369.12326,343.15
381.7172,566.15
377.34937,470.15
379.68628,422.15
372.61267,438.15
365.78714,284.15
360.403,451.15
375.1902,435.15
364.51202,302.15
361.04507,445.15
366.17624,342.15
363.07025,376.65
379.18097,364.15
376.0182,330.65
394.0801,459.15
367.64792,358.15
370.75403,406.15
379.48688,429.15
374.2801,382.15
379.57394,407.15
358.76038,414.15
358.08438,330.15
372.8087,324.65
361.23364,267.15
368.12912,434.15
365.49463,363.65
365.50073,494.15
376.61127,472.65
368.92627,342.15
377.1525,341.15
366.99265,530.15
365.07074,357.65
372.72287,366.15
381.4878,412.15
362.81018,366.15
367.3129,376.65
361.2277,306.15
372.68668,469.15
369.1573,348.65
376.57227,259.55
381.67188,504.15
377.70547,425.15
354.78577,401.15
345.6121,157.15
365.71286,286.15
369.09726,318.65
366.64224,297.15
360.03082,441.15
387.62195,508.15
365.37146,314.15
373.48557,307.15
353.76913,419.15
379.7845,476.15
371.9792,414.15
371.5778,399.15
376.88745,395.15
364.14914,319.65
355.87473,356.65
357.67883,346.15
365.54636,399.15
371.17764,425.15
363.35352,513.15
373.23715,408.15
363.19986,289.15
365.62857,322.65
354.65952,484.65
358.35413,374.15
359.6289,304.15
367.9572,242.15
382.72385,430.15
370.24664,411.15
377.45563,428.15
376.63736,351.15
378.663,485.15
355.36526,341.15
369.459,429.15
348.84164,306.65
367.21222,457.15
362.67703,505.15
376.7431,365.15
356.96466,407.15
373.3533,449.15
372.99118,479.65
355.61914,546.15
376.72147,538.15
379.96893,424.15
381.54654,382.15
373.38074,278.15
365.39337,196.35
371.04065,409.15
369.8293,425.15
369.70462,349.15
361.88852,424.15
386.92636,444.15
365.0905,452.65
363.15778,288.15
370.4103,408.15
356.38556,403.15
357.95236,326.15
375.22565,546.15
371.34747,354.15
369.8695,383.15
