output,target
324.98737,430.65
310.14783,348.15
301.96094,445.15
300.68033,311.15
302.78583,259.15
300.6892,400.15
324.66895,357.15
310.41177,457.15
314.10193,372.65
302.44037,338.65
321.348,413.15
325.54825,450.15
302.35873,404.15
296.1354,333.15
304.6668,443.65
318.9285,486.15
307.06473,434.15
295.6069,293.15
294.72488,403.15
294.11053,193.15
309.58478,403.15
289.60843,317.15
315.0741,474.15
320.17957,398.15
303.27728,691.15
307.05615,481.15
305.62747,312.15
312.4027,340.15
326.35916,483.15
304.63373,559.15
292.328,455.15
297.25705,182.15
307.22403,290.75
309.8833,254.65
296.3613,408.15
306.94382,509.15
310.06393,405.15
305.46954,468.15
322.82562,426.15
313.61902,442.15
300.11636,403.15
317.98303,539.15
298.67453,429.15
305.17615,485.15
300.40073,334.15
301.1268,429.15
296.27206,336.65
308.57007,395.15
306.05026,349.35
318.3904,317.65
308.75977,403.15
301.1875,366.65
304.168,567.15
311.68234,330.15
311.89038,472.15
317.7901,490.15
314.988,480.15
305.07944,521.15
301.98108,441.15
322.2904,494.15
304.007,326.15
302.3352,355.15
310.29135,545.15
306.71338,595.15
312.36026,424.15
320.85583,391.15
306.24277,301.15
302.08426,415.15
319.0951,375.65
333.53326,583.15
323.22015,493.15
307.36316,496.15
298.45877,385.15
303.27405,355.55
298.22003,275.15
306.00485,313.15
313.27356,421.15
309.71472,433.15
311.96497,306.65
321.97653,409.15
314.46265,358.15
301.79642,226.15
304.10925,308.15
319.2006,356.65
291.65488,327.15
305.7701,402.65
335.0573,529.15
318.5286,306.65
327.02142,447.15
313.86346,311.15
329.92438,546.15
319.0946,373.15
316.52368,423.15
319.3723,408.15
323.5167,344.65
306.16022,479.15
320.08243,312.65
319.09808,437.15
308.16013,311.65
303.70746,368.15
322.15778,441.15
314.75687,415.65
303.96228,495.15
325.24216,513.15
319.53723,425.0
319.09836,401.15
298.5056,341.65
311.05756,323.15
314.6794,336.15
339.4149,539.15
305.15887,401.15
309.42993,333.15
310.4314,433.15
308.0077,375.15
300.0113,323.65
313.59558,370.15
315.26923,411.15
326.92764,561.15
307.95297,379.15
301.73566,497.15
311.55585,310.15
318.84055,441.15
311.70074,477.15
312.33777,448.15
299.09204,593.15
292.92715,345.65
302.71518,421.15
309.0309,555.15
319.08987,223.15
315.0321,414.15
324.36926,434.15
297.5779,244.15
300.31827,278.15
316.35675,355.15
300.15143,360.65
318.5591,404.15
312.82483,408.15
295.85254,289.15
297.08615,349.15
300.9705,444.15
301.81085,361.15
312.6019,478.15
317.60587,386.15
292.5208,573.15
304.70102,491.15
307.29633,341.15
324.07513,511.15
