output,target
206.7381,486.15
223.54057,470.15
214.39699,322.65
213.8909,305.15
218.76033,339.15
215.17143,186.15
222.45396,460.15
203.32445,361.15
218.01082,306.65
200.36925,427.15
221.13295,302.65
193.96489,303.15
213.56691,385.15
222.49391,331.15
215.34276,351.65
210.30397,488.15
223.26173,416.15
222.49559,447.15
206.8577,303.15
217.554,461.15
218.14734,618.15
218.68307,216.05
218.04124,496.15
212.81358,316.15
225.27975,515.15
197.94023,311.15
201.61075,292.15
212.69873,245.15
222.15791,322.15
205.50168,333.15
222.58565,563.15
209.99202,360.15
214.30301,312.65
201.74649,416.15
222.42726,571.15
219.28407,452.65
209.82889,491.15
212.0574,479.15
219.64233,517.15
220.5403,429.15
225.53755,480.15
220.18845,367.15
209.76292,286.65
219.72903,421.15
219.51865,423.15
223.37804,326.15
220.19914,469.15
218.50502,320.65
212.7319,336.65
218.08693,425.15
217.42728,476.15
221.08398,443.15
217.06802,416.15
217.92918,374.15
213.19566,361.65
214.48506,208.15
219.9437,379.15
219.20613,407.15
209.4955,479.15
212.50124,316.15
221.85196,399.15
221.72115,451.15
220.79242,378.15
222.37453,479.15
216.23753,411.15
215.33208,312.65
222.12973,492.15
220.53943,318.65
219.41658,325.15
223.26468,529.15
221.74637,348.65
210.36575,392.15
211.84776,235.15
222.7049,451.15
218.94345,429.15
221.66666,546.15
217.35793,451.15
219.34488,366.15
215.49045,633.15
218.64975,475.15
219.50633,439.15
218.92006,326.15
220.69247,312.15
209.87852,337.15
219.02547,360.15
223.3947,541.15
218.47665,549.15
213.02002,355.15
222.35878,483.15
218.41695,530.15
217.7714,356.15
216.0346,395.15
221.7526,409.15
221.79684,471.15
223.94608,417.15
220.42743,326.15
205.983,253.15
223.22679,446.15
219.43129,400.15
194.05603,256.15
202.74539,457.15
220.75233,541.15
219.00531,158.15
219.73431,377.15
215.86494,338.65
218.50844,391.15
217.56432,529.15
220.28674,400.15
214.00697,321.65
218.04361,411.15
222.54832,447.15
217.73523,425.15
221.1543,458.15
217.11928,526.15
204.21349,320.15
218.7636,458.15
220.61777,304.15
220.02156,409.15
214.56161,339.15
202.74698,308.15
195.49437,267.15
220.12341,319.15
210.57587,443.15
215.5425,585.15
215.76549,446.15
221.50531,536.15
222.35957,346.15
223.63937,330.15
210.58847,339.65
215.1139,283.15
217.5331,344.15
221.61673,319.65
215.70186,311.15
215.76276,336.15
217.88388,493.15
220.91891,402.15
201.38046,382.15
222.9392,559.15
222.84572,533.15
197.26921,396.65
221.59949,388.15
220.31758,530.15
222.52286,368.15
216.50067,493.65
220.08713,241.15
213.6569,379.15
220.67189,427.15
223.02245,342.15
221.79276,338.65
222.00041,444.15
215.8618,352.65
223.45316,251.15
221.78558,344.15
220.33954,355.55
198.10693,155.15
193.97583,282.65
217.6449,424.15
224.64958,473.15
215.48248,475.15
217.66383,499.15
214.19064,310.65
219.1248,301.65
220.92647,595.15
219.37794,472.65
217.50053,551.15
221.25633,383.15
217.19858,425.15
219.8621,348.15
223.38104,508.15
220.2282,405.15
221.68205,477.15
213.79924,142.15
214.98373,358.15
208.99179,549.15
218.38046,364.15
222.7897,399.15
223.50764,573.15
217.97325,302.15
220.54628,429.15
216.17953,288.15
221.29793,350.15
213.39362,406.15
218.47562,516.15
221.7417,457.15
220.82964,569.15
220.76329,358.65
224.12602,479.87
219.96756,448.15
206.75623,333.15
213.76294,422.15
217.68692,363.15
222.99545,338.65
217.75656,373.15
204.82808,317.65
218.71553,503.15
220.64137,306.65
222.98088,391.15
219.96101,440.15
221.7148,364.15
214.78128,392.65
222.30824,450.15
221.09431,451.15
220.28905,438.15
217.71503,317.15
220.89716,503.15
221.57216,578.15
220.87477,441.15
221.49402,334.15
220.74849,423.15
199.77013,357.15
219.88106,567.15
222.2149,540.15
221.35484,401.15
219.73343,424.15
220.20331,403.15
217.1621,377.15
205.55981,349.15
219.60631,378.15
209.9155,327.15
214.2687,350.65
216.61487,555.15
212.4736,371.65
219.79173,399.15
211.24751,294.15
214.95822,396.15
221.5201,408.15
219.8253,343.65
221.912,482.15
211.44641,172.15
220.94962,341.65
210.31439,355.65
219.7057,430.15
215.72224,422.15
220.76535,475.15
220.72871,405.15
214.63525,204.15
217.62267,330.15
212.85939,401.15
214.4947,413.15
215.24634,373.15
217.37242,451.15
213.68866,392.15
214.24873,513.15
221.06882,342.15
212.73318,337.15
217.44617,473.15
222.98207,508.15
222.28098,552.15
221.54134,469.15
219.7236,451.15
200.77452,345.15
217.62259,263.15
198.2595,352.15
220.98373,415.15
219.8728,387.15
217.40086,435.15
217.08946,306.15
222.45601,501.15
207.49976,329.65
222.16115,271.15
221.56302,397.15
218.07806,373.15
217.09761,342.15
218.42294,653.15
221.846,354.15
219.89392,525.15
194.08455,540.65
209.4934,435.15
212.84288,482.65
220.14848,430.65
216.08452,423.15
219.5432,583.15
222.12589,363.15
217.36368,466.15
220.67148,484.15
221.63696,381.15
218.03712,467.15
202.65799,213.15
221.63869,454.65
217.30505,394.15
218.54424,404.15
222.22032,206.15
222.62721,422.15
222.72467,365.15
217.32417,396.15
217.5318,501.15
217.08792,528.15
215.3621,425.15
219.77191,359.15
216.1958,381.15
215.72002,344.15
218.52107,457.15
201.0343,343.15
221.12082,583.15
216.45332,414.15
217.84433,328.15
218.13167,421.15
212.821,452.65
218.92561,412.15
222.10335,444.15
209.36143,411.15
224.48555,337.15
220.11354,330.15
217.09612,431.15
220.98506,322.15
203.37985,361.15
193.97978,236.65
219.8716,351.15
216.65065,445.15
214.9618,447.15
222.74678,499.15
221.72101,345.65
219.97598,263.15
218.79791,390.15
215.50908,314.15
222.81607,378.15
220.82735,431.15
219.79156,399.15
222.40303,414.15
220.67905,366.15
218.08119,417.15
201.16666,322.15
193.77028,338.65
221.17366,366.15
217.36969,203.15
207.06264,355.15
220.86008,360.15
