output,target
373.45825,423.15
391.41217,310.65
369.10565,360.15
391.41217,439.15
391.41217,535.15
389.6757,397.15
391.41217,365.65
390.04807,412.15
391.41217,202.45
386.07852,286.15
347.0734,266.65
377.07333,407.15
390.4747,552.65
391.41217,373.15
391.41217,449.15
391.41217,305.15
372.15967,360.15
391.41217,623.15
391.41217,302.15
387.1349,320.65
390.28934,492.15
391.41217,439.15
365.5787,435.15
384.28366,306.15
391.41217,358.95
380.35284,286.65
387.09723,179.15
380.88077,245.15
391.41217,423.15
391.41217,396.15
364.48123,372.15
391.41217,370.15
391.347,488.15
386.94183,424.15
391.41217,422.15
391.41217,306.65
391.41217,422.15
391.41217,216.05
391.41217,372.15
391.41217,469.15
391.41217,206.15
391.41217,408.15
391.41217,429.15
391.41217,355.65
391.41217,424.15
387.47723,407.15
390.0489,423.15
391.41217,183.75
380.357,431.15
386.8288,505.15
376.61716,343.95
391.41217,390.15
389.9017,405.15
389.52704,481.15
391.41217,402.15
390.1532,355.15
376.82263,339.65
391.41217,353.65
391.41217,329.65
391.41217,415.15
374.39044,543.15
388.73886,573.15
391.41217,228.15
391.41217,473.15
391.41217,436.15
391.41217,367.15
388.78,343.15
374.3624,387.0
387.75092,433.15
391.41217,357.65
372.70892,329.15
391.41217,391.15
365.409,437.15
385.90845,355.15
391.41217,375.15
391.41217,461.15
391.41217,306.65
391.41217,505.15
389.89923,302.15
391.41217,348.15
391.41217,449.15
369.58444,491.15
391.41217,480.15
391.41217,426.15
387.3802,326.15
389.0702,448.15
391.41217,507.15
390.65314,480.15
391.41217,573.15
391.41217,423.15
384.77002,310.15
391.41217,310.65
388.39423,441.15
391.41217,360.15
390.8176,465.15
359.19974,336.15
391.41217,415.15
391.41217,423.15
391.41217,383.15
391.41217,413.15
391.41217,373.15
391.41217,518.15
391.41217,440.15
391.41217,372.25
391.41217,279.25
382.34616,394.65
391.41217,320.15
388.97906,341.15
391.41217,277.15
391.41217,487.15
361.28644,420.15
391.41217,405.15
391.41217,203.15
391.41217,430.15
391.41217,418.65
391.41217,421.15
390.959,402.15
391.41217,339.15
388.9678,255.15
375.017,253.15
391.41217,446.15
391.41217,319.15
383.6029,327.65
391.41217,435.15
389.25082,275.15
388.23566,526.15
388.00623,366.15
391.41217,409.15
391.41217,381.15
390.94308,474.15
391.41217,398.15
391.41217,435.15
391.41217,523.15
375.32822,331.15
391.41217,399.15
376.95047,356.15
386.62946,417.15
382.92432,467.15
391.41217,411.15
377.08203,477.15
391.38443,284.65
391.41217,313.15
391.41217,398.65
387.25485,308.15
391.41217,428.15
362.03867,363.65
391.41217,495.15
377.34793,393.65
391.41217,469.65
382.90018,361.15
391.41217,332.65
391.41217,407.15
391.41217,552.15
391.41217,367.65
383.0388,490.65
387.36493,344.65
390.77576,465.15
391.41217,387.15
391.41217,452.15
386.2886,267.65
391.41217,394.15
391.35028,506.15
391.41217,447.15
391.41217,461.15
371.25626,172.15
377.04312,350.15
391.41217,311.15
391.41217,333.65
391.41217,211.65
391.41217,389.15
369.19934,330.15
391.41217,438.15
391.41217,247.15
391.41217,455.15
391.22543,203.15
382.853,530.15
389.9943,468.15
391.41217,354.15
391.41217,429.15
390.37192,505.15
391.41217,519.15
389.6274,441.15
391.41217,389.15
391.41217,338.15
388.4955,424.15
386.84763,468.15
391.41217,380.15
391.41217,354.15
391.41217,441.15
391.41217,349.15
391.37857,306.65
391.41217,506.15
391.41217,430.15
379.57416,485.15
385.92804,203.15
391.41217,471.15
373.34027,318.65
356.68152,313.15
352.47028,442.15
384.23727,395.15
391.41217,691.15
385.6752,435.15
391.41217,413.15
354.86145,419.15
391.41217,569.15
391.41217,339.15
387.15927,351.15
389.02393,390.15
391.41217,396.15
391.41217,399.15
391.41217,406.15
391.41217,496.15
391.41217,238.15
389.7314,448.15
389.89893,333.15
391.41217,484.15
391.41217,321.65
391.41217,477.15
391.41217,463.15
391.41217,530.15
391.41217,527.15
391.41217,387.15
391.41217,406.15
391.41217,475.15
369.98196,408.15
391.41217,429.15
391.41217,565.65
387.53607,442.15
391.41217,373.15
391.41217,323.65
386.4817,458.15
391.41217,385.15
391.39722,521.15
391.41217,518.15
391.41217,261.15
391.41217,437.15
391.41217,406.15
387.26334,318.65
391.41217,499.15
388.96558,331.15
374.0527,325.15
391.41217,376.65
391.41217,499.15
352.78525,386.15
391.41217,415.65
391.41217,479.15
381.72784,443.15
391.41217,522.15
391.41217,553.15
391.1389,444.15
389.77374,403.15
385.18726,368.15
391.41217,401.15
391.41217,459.15
390.31067,416.15
385.31772,521.15
391.41217,491.15
391.41217,406.15
391.41217,441.15
391.41217,377.15
391.41217,396.15
391.41217,422.15
391.41217,420.15
391.41217,502.15
391.41217,541.15
391.41217,388.15
391.41217,426.15
391.41217,394.15
391.41217,323.15
391.41043,235.15
385.74127,404.15
391.41217,401.15
389.6846,379.15
391.41217,431.15
391.41217,481.15
391.41217,318.15
367.1953,329.15
391.14835,344.15
377.05545,423.15
391.41217,319.15
368.05286,122.15
391.41217,492.15
385.9436,197.15
391.41217,337.15
387.63367,340.15
368.05356,404.15
391.41217,213.15
353.78854,311.15
389.23602,395.15
387.9936,297.65
391.41217,545.15
391.41217,408.15
391.41217,426.15
391.41217,391.15
391.41217,407.15
391.41217,439.15
391.41217,520.15
391.41217,502.15
391.41217,549.15
391.41217,482.65
391.41217,429.15
365.29913,397.15
391.41217,515.15
391.41217,453.15
385.99872,216.15
391.41217,310.15
391.41217,527.15
391.41217,405.15
391.41217,381.65
365.32553,314.15
391.41217,419.15
388.1421,415.15
361.15012,317.15
391.41217,508.15
391.41217,337.65
391.41217,445.15
391.41217,438.15
391.41217,452.65
391.35947,371.15
391.41217,451.15
390.44296,431.15
391.41217,169.15
391.41217,401.15
382.38153,373.15
391.41217,429.15
388.81198,429.15
391.41217,257.15
384.2018,548.15
391.41217,462.15
391.41217,368.45
391.41217,478.15
391.41217,470.65
391.41217,375.15
358.43237,414.15
391.41217,421.15
391.41217,318.65
391.21988,445.15
367.74374,361.15
391.41217,367.15
391.41217,469.15
391.41217,438.15
391.41217,378.0
391.41217,459.15
391.41217,387.15
391.35605,403.15
391.41217,393.15
365.21512,229.15
391.41217,213.15
391.41217,477.15
391.41217,509.15
