output,target
358.19632,363.15
401.53424,417.15
377.29813,348.15
439.90225,333.15
351.92642,335.65
331.79538,337.15
446.1836,541.15
419.41837,427.15
506.69482,393.15
362.28973,350.15
400.29202,375.15
402.272,403.15
247.57835,333.65
457.55768,424.15
395.36237,396.15
355.19415,358.15
416.415,366.15
418.38623,356.15
472.55136,448.15
431.2271,433.15
321.80746,363.15
363.35883,528.15
424.04852,400.15
411.68906,392.15
507.90265,539.15
369.84412,452.15
501.64746,518.15
261.1294,193.15
431.7222,449.15
371.24655,406.15
423.96243,392.15
474.36255,545.15
404.133,470.15
494.117,422.15
307.9064,261.15
394.8803,323.15
459.44275,430.15
243.91455,235.65
343.1768,325.15
515.03973,471.15
422.83838,367.65
452.4884,393.15
461.02048,393.15
426.04807,563.15
450.35706,457.15
300.30414,358.95
333.03894,313.15
403.09552,388.15
450.84015,444.15
203.40411,210.05
455.49994,482.15
475.60117,460.15
306.84634,319.75
415.65262,419.15
500.87354,477.15
313.7444,351.15
385.81592,366.95
307.2595,321.15
486.05072,505.15
355.4672,292.15
500.88605,456.65
327.53326,313.15
260.52423,258.55
477.87238,548.15
296.78342,288.15
333.8293,323.15
400.9027,362.65
461.96915,428.15
414.73242,352.15
270.11807,244.15
460.48526,399.65
362.5904,361.15
424.3892,467.15
515.1296,520.15
412.44138,371.15
295.06247,235.15
477.6646,444.15
434.09882,422.15
386.7437,342.15
277.94803,235.15
440.77148,372.65
449.46735,495.15
381.4433,386.15
405.15674,363.15
486.15274,478.15
391.5251,411.15
455.7937,430.15
324.1404,310.45
419.3234,395.15
420.74725,451.15
262.67526,222.95
496.23694,440.15
381.1633,371.15
414.0441,399.15
358.39008,347.15
340.5807,339.15
437.6834,389.15
349.804,378.15
411.10272,462.15
355.26132,322.15
371.87833,358.15
292.47122,248.15
485.58514,483.15
398.29877,403.15
261.96622,218.25
397.7255,374.65
460.70105,465.15
361.41193,349.15
430.8136,415.65
436.38074,439.15
345.51724,339.65
219.43277,230.15
408.33328,399.15
389.79694,423.15
371.49637,489.15
199.53093,157.15
537.1672,560.15
409.01172,371.15
413.9983,383.15
355.74866,340.15
197.10068,203.15
320.07486,311.15
418.11584,400.5
345.67365,366.15
457.38867,431.15
525.5635,557.65
422.10175,415.15
260.99045,242.15
351.68106,393.15
426.2743,399.15
397.8379,356.15
450.87592,391.15
452.64215,540.15
435.87088,422.15
289.1297,256.15
467.26474,529.15
421.99634,405.15
359.86057,372.15
417.0878,395.15
349.13867,315.65
444.35687,446.15
464.81207,429.15
320.58517,310.15
507.6438,457.15
511.87573,398.65
462.5668,408.15
292.8683,318.15
358.20126,356.15
399.90512,367.65
473.74078,507.15
332.10654,297.55
408.82364,519.65
366.6502,338.65
383.2854,380.15
466.53784,404.15
325.24963,340.35
426.36957,482.15
221.94054,405.15
315.31244,259.15
435.0264,451.15
421.9103,433.15
494.87476,478.15
460.68024,406.15
378.3383,349.65
342.86017,368.15
370.00616,349.15
292.7515,308.15
555.8842,481.15
379.3593,487.15
433.56424,479.15
356.43842,351.65
413.53842,380.15
320.5547,278.15
390.75946,388.15
398.0826,379.15
289.6167,293.15
318.54913,368.65
410.5042,409.15
369.1869,361.15
436.17535,442.65
408.0727,403.15
522.9261,549.15
466.11948,445.15
366.2398,383.15
413.71417,497.15
325.9352,302.15
460.87552,530.65
384.016,394.15
444.14423,477.15
327.9691,320.15
430.28186,380.65
322.06055,334.15
244.31903,243.15
387.66345,382.15
427.66116,436.15
